Designator,Footprint,Quantity,Value,LCSC Part #
"U12, U13",WDFN-6_L2.0-W2.0-P0.65-BL-EP-1,2,AP2553FDC-7,
"U16, U5",UQFN-10_1.4x1.8mm_P0.4mm,2,TS3USB30ERSWR,
U17,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U18,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm,1,IP5306,
U19,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U2,X2SON-8_1.4x1mm_P0.35mm,1,TXS0102DQE,
U21,LLP-6_L2.0-W1.8-P0.50-BL-EP,1,VRD1828MLX,
U22,IC_TPS61088RHLR,1,TPS61088RHLR,
U23,SOT-23-3,1,XC6206PxxxMR,
U25,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,1,FUSB303BTMX,C895444
U26,SOT-23-5,1,AP22814AW5,
U27,SOT-23-5,1,AP22814BW5,
U3,QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm_ThermalVias,1,USB2514B_Bi,
U57,SOT-23-5,1,LMR62014XMFX,
U6,Raspberry-Pi-5-Compute-Module,1,RPi-CM5,
U7,SOT-353_SC-70-5,1,SN74LVC1G07DCKR,
U8,MIC-SMD_4P-L2.8-W1.9_S15OT421-005,1,S15OT421-005,
U9,LQFP-48_7x7mm_P0.5mm,1,CM108,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,24MHz,C156248
Y2,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,1,12MHz,
Y3,Oscillator_SMD_SiT_PQFN-4Pin_3.2x2.5mm,1,OK2JI-111-32.768K,
